traceID,timestamp,TML Before Sanitization,TML After Sanitization,Formula Info,dropped/not,tokens dropped
bdc0abcfb5c4e626,1735673801381466.0,[[sum of members divided by unique count of month] [Date] = '2023' vs [Date] = '2024' [Relationship] [Relationship] = 'e' [Relationship] = 'c' [Relationship] = 's' [grand total]],[[sum of members divided by unique count of month] [Date] = '2023' vs [Date] = '2024' [Relationship] [Relationship] = 'e' [Relationship] = 'c' [Relationship] = 's'],"[{'name': 'sum of members', 'expression': 'sum ( Members )'}, {'name': 'unique count of month', 'expression': 'unique count ( month ( Date ) )'}, {'name': 'sum of members divided by unique count of month', 'expression': 'sum of members / unique count of month'}, {'name': 'sum of members divided by unique count of month(date = 2024)', 'expression': ""group_aggregate ( sum of members divided by unique count of month , query_groups ( ) , query_filters ( ) + { year_name ( Date ) = \\'2024\\' } )""}, {'name': 'sum of members divided by unique count of month(date = 2023)', 'expression': ""group_aggregate ( sum of members divided by unique count of month , query_groups ( ) , query_filters ( ) + { year_name ( Date ) = \\'2023\\' } )""}, {'name': 'YearName(Date) = 2023 OR YearName(Date) = 2024', 'expression': ""year_name ( Date ) = \\'2023\\' or year_name ( Date ) = \\'2024\\'""}, {'name': 'grand total', 'expression': 'sum ( sum of members divided by unique count of month(date = 2023), sum of members divided by unique count of month(date = 2024) )'}]",2,"['grand', 'total']"
bdf2fe80277aa476,1735758608015436.0,[count [CLASS] where [WORD] = 'kidney'],[count [CLASS] [WORD] = 'kidney'],,1,['where']
c33eac975796cd94,1735713698106714.0,[[Mobile Number] = '+919361319755' [Register Name] = 'aravindan m k' [Register Name]],[],,8,"['k', 'aravindan', 'register', 'number', '919361319755', 'name', 'm', 'mobile']"
c41891b3f03df152,1735755877616003.0,[[ROOTWORD]],[[ROOTWORD]],,0,NA
c4f009d518d6fb91,1735677733277660.0,[average [Fedex Decked Cost] by [Max Item Weight] by [Order Status] [Fedex Dest State] = [Fedex Dest State].'ca'],[average [Fedex Decked Cost] by [Order Status] by [Max Item Weight] [Fedex Dest State] = 'ca'],,0,NA
c5ecdee79a59ea8f,1735709469608983.0,[[User GUID] [max Uncapped Credit Usage]],[[max uncapped credit usage] [User GUID]],"[{'name': 'max Uncapped Credit Usage', 'expression': 'group_aggregate ( max ( Uncapped Credit Usage ) , query_groups ( ) + { User GUID } , query_filters ( ) )'}]",0,NA
c75cbf84e19fec92,1735757718725387.0,[[count of cases]],[[count of cases]],"[{'name': 'count of cases', 'expression': ""group_aggregate ( count ( TRIGGER ) , query_groups ( ) , query_filters ( ) + { TRIGGER = \\'kidney disease\\' } )""}]",0,NA
c89df729c8e288b1,1735757457011202.0,[[percentage of Dermatology cases]],[[percentage of dermatology cases]],"[{'name': 'total CLASS count', 'expression': 'group_aggregate ( count ( CLASS ) , { } , { } )'}, {'name': 'Dermatology CLASS count', 'expression': ""group_aggregate ( count ( CLASS ) , { } , { CLASS = \\'dermatology\\' } )""}, {'name': 'percentage of Dermatology cases', 'expression': 'Dermatology CLASS count / total CLASS count * 100'}]",0,NA
c9fa9b47b749dff4,1735672991879055.0,[sum [Number of patients] by [State]],[sum [Number of patients] by [State]],,0,NA
d1a497e5db2a99c3,1735672527434200.0,[average [Average Member count per month] [Date].monthly [Date] = '2023'],[average [Average Member count per month] [Date].monthly [Date] = '2023'],,0,NA
d40bcb853f7405b9,1735715511413902.0,[[Sim Plan] [Mobile Number] = '+919361319755'],[],,5,"['number', '919361319755', 'mobile', 'plan', 'sim']"
d69523c68fcf21f6,1735673251347062.0,[[sum of members divided by unique count of month]],[[sum of members divided by unique count of month]],"[{'name': 'sum of members', 'expression': 'sum(Members)'}, {'name': 'unique count of month', 'expression': 'unique count(month(Date))'}, {'name': 'sum of members divided by unique count of month', 'expression': 'sum of members / unique count of month'}]",0,NA
d6976f6a0760ccea,1735724460565101.0,[top 10 [product] sort by [sales] [date] = 'last quarter'],[top 10 [product] [date] = 'last quarter' sort by [sales]],,0,NA
d6ef5b58f4051557,1735715599483362.0,[sum [sales] by [product]],[sum [sales] by [product]],,0,NA
d7809872a40d78f8,1735675139787913.0,[[Agent Version] [Unique Number of Servers] < 50000 [Needs Reboot?]],[[Needs Reboot?] [Agent Version] [Unique Number of Servers] < 50000],,0,NA
db20aa7f1d4bbc3c,1735676077553109.0,[[Agent Version] [Unique Number of Servers] [Needs Reboot?] [Agent Version] >= '1.5'],[[Unique Number of Servers] [Needs Reboot?] [Agent Version] [Agent Version] >= '1.5'],,0,NA
db4f6419d7d27594,1735674016994000.0,[count [store] for each [region]],[count [store] for each [region]],,0,NA
ddb1ca2ac985af01,1735675222430959.0,[[Agent Version] [Unique Number of Servers] [Needs Reboot?] [Agent Version] >= '1.4'],[[Unique Number of Servers] [Needs Reboot?] [Agent Version] [Agent Version] >= '1.4'],,0,NA
ddb8a37c933d8934,1735673065815741.0,[sum [Number of patients] by [State] sort by [Number of patients] descending],[sum [Number of patients] by [State] sort by [Number of patients] descending],,0,NA
df78983dc22e593f,1735744591184937.0,[[Credits]],[[Credits]],,0,NA
dff51ed2bd4f171e,1735673002506918.0,[sum [Number of patients] by [State]],[sum [Number of patients] by [State]],,0,NA
e12065b2fa59f783,1735676397365988.0,[[Fedex Decked Cost] [Fedex Dest State] = 'ca'],[[Fedex Decked Cost] [Fedex Dest State] = 'ca'],,0,NA
e4414831b78bc353,1735755803781924.0,[[percentage of Dermatology cases]],[[percentage of dermatology cases]],"[{'name': 'total cases', 'expression': 'count ( CLASS )'}, {'name': 'Dermatology cases', 'expression': ""count_if ( CLASS = \\'dermatology\\', CLASS )""}, {'name': 'percentage of Dermatology cases', 'expression': 'Dermatology cases / total cases * 100'}]",0,NA
e46453b2cd3ef7be,1735756014908451.0,[top 1 [CENTERINFO] sort by [NEGATIONS] descending],[top 1 [CENTERINFO] sort by [NEGATIONS]],,1,['descending']
e9c063063da6b430,1735712587011722.0,[[Payment Status] = '{null}'],[],,3,"['null', 'payment', 'status']"
ebbc891e6ae5a942,1735725458145474.0,[top 10 [product] [region] = 'east' [date] = 'this year' sort by [sales]],[top 10 [product] [date] = 'this year' [region] = 'east' sort by [sales]],,0,NA
ec9817e750072024,1735758729933109.0,[top 10 [ROOTWORD] sort by [FILESIZE]],[top 10 [ROOTWORD] sort by [FILESIZE]],,0,NA
f578b65b574fdbf8,1735757691912649.0,[[count of cases]],[[count of cases]],"[{'name': 'count of cases', 'expression': ""group_aggregate ( count ( TRIGGER ) , query_groups ( ) , query_filters ( ) + { TRIGGER = \\'kidney disease\\' } )""}]",0,NA
fc20a360d68ca6dc,1735709495013289.0,[top 10 [store] sort by [sales]],[top 10 [store] sort by [sales]],,0,NA
fc3f586e1bb714ca,1735755907987246.0,[top 10 [ROOTWORD] sort by [FIRSTNEGATION] [CLASSIFICATION] = 'Dermatology'],[top 10 [ROOTWORD] [CLASSIFICATION] = 'dermatology' sort by [FIRSTNEGATION]],,0,NA
fca74cbb8d1959a0,1735701053592932.0,[bottom 1 [region] [date] = 'last month' sort by [sales] ascending],[bottom 1 [region] [date] = 'last month' sort by [sales]],,1,['ascending']
fcec4e29b79815e6,1735680213239697.0,[[sales] [date] = '2023' [region] = [region].'east' [item type].'Jackets' by [city] [city] = 'boston' vs [city] = 'columbia'],[[sales] [city] = 'boston' vs [city] = 'columbia' by [city] [item type].jackets [date] = '2023' [region] = 'east'],,0,NA
fcf707445fc35b13,1735733575358956.0,[top 5 [Product ID] sort by [Order ID] [Region]],[top 5 [Region] [Product ID] sort by [Order ID]],,0,NA
